26 73|56 75|19 85|8 63|52 42|16 86|9 89|77 32|47 20|26 62|58 86|65 95|95 21|18 67|22 76|51 41|
48 37|13 57|33 10|2 66|41 13|86 2|75 52|33 47|61 15|69 57|68 58|89 52|74 74|6 63|7 0|28 51|
63 47|89 12|99 87|22 73|58 48|6 85|99 7|51 11|56 61|64 65|23 26|0 3|43 38|38 55|54 42|82 15|
68 55|31 57|25 98|30 29|88 66|21 12|23 54|86 4|42 76|85 60|78 12|58 46|41 70|27 17|76 13|83 55|
19 82|42 59|61 77|65 13|10 85|85 5|93 65|77 12|56 13|53 58|33 97|1 89|20 10|34 93|39 58|52 81|
57 39|82 75|39 97|0 48|29 78|45 41|55 44|26 21|60 64|16 63|96 91|21 7|35 86|17 0|45 42|55 40|
90 84|43 23|76 39|55 99|62 65|37 77|56 62|48 26|0 76|27 73|85 42|69 74|40 80|5 0|59 64|67 74|
63 97|10 0|0 77|21 17|57 70|80 64|94 74|89 37|49 52|56 72|49 44|71 56|36 61|15 7|39 62|57 43|
34 25|47 48|55 37|72 17|4 83|15 71|30 52|1 87|8 13|38 65|62 6|39 72|43 19|0 0|6 80|17 68|
20 22|0 98|50 32|92 0|33 40|40 84|12 12|95 95|56 14|73 20|50 39|22 88|91 86|47 34|49 40|86 74|
70 64|95 4|60 66|28 2|47 29|99 0|18 93|75 26|84 65|65 26|4 0|62 40|67 27|24 80|41 3|59 37|
44 98|53 64|60 74|99 91|77 76|43 58|15 51|61 32|93 8|81 79|55 79|38 62|13 10|0 44|49 27|56 30|
36 46|0 99|18 51|40 29|98 26|75 61|72 51|3 93|25 13|53 2|14 14|78 66|89 79|0 0|28 12|35 38|
11 75|95 92|65 25|49 64|10 75|4 47|59 28|76 8|56 69|1 76|37 99|8 51|72 70|0 44|13 76|70 68|
99 2|35 41|84 8|50 46|11 28|6 3|9 9|77 87|5 62|28 32|25 52|13 55|61 14|13 29|17 36|50 47|
87 71|71 97|76 86|12 38|80 78|88 33|61 38|72 3|23 36|91 26|42 30|92 75|63 35|0 39|53 40|94 25|
40 48|22 96|16 44|66 64|37 39|17 20|16 18|66 65|26 60|8 35|80 54|70 93|68 59|9 36|17 21|36 41|
23 57|67 74|2 62|24 15|23 13|47 79|46 97|56 76|83 76|39 32|42 21|26 57|67 19|25 19|38 21|38 32|
70 93|64 29|31 96|0 57|29 35|29 39|13 60|60 89|69 26|27 65|46 61|14 11|55 64|30 98|33 93|59 31|
97 38|12 13|62 61|61 82|63 83|39 96|42 92|70 99|66 55|79 5|88 43|4 8|58 61|11 13|21 12|37 71|
40 16|62 60|64 13|51 17|18 86|72 72|63 61|77 19|16 4|69 10|65 20|70 69|97 24|3 0|20 5|67 16|
87 3|32 39|97 26|73 89|61 39|79 45|72 84|33 41|69 25|12 80|25 69|13 3|62 31|20 73|56 41|71 54|
62 64|9 99|92 0|73 23|38 24|11 55|66 29|47 6|25 65|69 67|18 85|59 47|94 83|20 45|27 37|55 47|
76 76|28 11|92 85|43 98|53 39|75 34|84 15|10 65|24 6|50 50|40 72|53 51|68 52|30 69|34 70|65 70|
92 89|75 20|66 66|96 99|66 74|88 26|11 26|13 86|77 27|91 86|37 29|34 69|64 27|20 83|46 30|99 17|
59 82|58 70|82 7|76 11|80 46|73 37|83 48|28 14|33 26|55 44|20 66|3 73|81 8|12 68|16 0|60 65|
79 48|18 15|63 42|42 57|40 53|10 73|29 35|62 63|56 38|48 55|0 17|76 84|13 6|3 19|48 56|61 61|
