26 73|56 75|19 85|8 63|52 42|16 86|9 89|77 32|47 20|26 62|58 86|65 95|95 21|18 67|22 76|51 41|
74 73|44 75|81 85|92 63|48 42|84 86|91 89|23 32|53 20|74 62|42 86|35 95|5 21|82 67|78 76|49 41|
26 27|56 25|19 15|8 37|52 58|16 14|9 11|77 68|47 80|26 38|58 14|65 5|95 79|18 33|22 24|51 59|
73 26|75 56|85 19|63 8|42 52|86 16|89 9|32 77|20 47|62 26|86 58|95 65|21 95|67 18|76 22|41 51|
73 74|75 44|85 81|63 92|42 48|86 84|89 91|32 23|20 53|62 74|86 42|95 35|21 5|67 82|76 78|41 49|
74 27|44 25|81 15|92 37|48 58|84 14|91 11|23 68|53 80|74 38|42 14|35 5|5 79|82 33|78 24|49 59|
27 26|25 56|15 19|37 8|58 52|14 16|11 9|68 77|80 47|38 26|14 58|5 65|79 95|33 18|24 22|59 51|
48 37|13 57|33 10|2 66|41 13|86 2|75 52|33 47|61 15|69 57|68 58|89 52|74 74|6 63|7 0|28 51|
52 37|87 57|67 10|98 66|59 13|14 2|25 52|67 47|39 15|31 57|32 58|11 52|26 74|94 63|93 0|72 51|
48 63|13 43|33 90|2 34|41 87|86 98|75 48|33 53|61 85|69 43|68 42|89 48|74 26|6 37|7 100|28 49|
37 48|57 13|10 33|66 2|13 41|2 86|52 75|47 33|15 61|57 69|58 68|52 89|74 74|63 6|0 7|51 28|
37 52|57 87|10 67|66 98|13 59|2 14|52 25|47 67|15 39|57 31|58 32|52 11|74 26|63 94|0 93|51 72|
52 63|87 43|67 90|98 34|59 87|14 98|25 48|67 53|39 85|31 43|32 42|11 48|26 26|94 37|93 100|72 49|
63 48|43 13|90 33|34 2|87 41|98 86|48 75|53 33|85 61|43 69|42 68|48 89|26 74|37 6|100 7|49 28|
63 47|89 12|99 87|22 73|58 48|6 85|99 7|51 11|56 61|64 65|23 26|0 3|43 38|38 55|54 42|82 15|
37 47|11 12|1 87|78 73|42 48|94 85|1 7|49 11|44 61|36 65|77 26|100 3|57 38|62 55|46 42|18 15|
63 53|89 88|99 13|22 27|58 52|6 15|99 93|51 89|56 39|64 35|23 74|0 97|43 62|38 45|54 58|82 85|
47 63|12 89|87 99|73 22|48 58|85 6|7 99|11 51|61 56|65 64|26 23|3 0|38 43|55 38|42 54|15 82|
47 37|12 11|87 1|73 78|48 42|85 94|7 1|11 49|61 44|65 36|26 77|3 100|38 57|55 62|42 46|15 18|
37 53|11 88|1 13|78 27|42 52|94 15|1 93|49 89|44 39|36 35|77 74|100 97|57 62|62 45|46 58|18 85|
53 63|88 89|13 99|27 22|52 58|15 6|93 99|89 51|39 56|35 64|74 23|97 0|62 43|45 38|58 54|85 82|
68 55|31 57|25 98|30 29|88 66|21 12|23 54|86 4|42 76|85 60|78 12|58 46|41 70|27 17|76 13|83 55|
32 55|69 57|75 98|70 29|12 66|79 12|77 54|14 4|58 76|15 60|22 12|42 46|59 70|73 17|24 13|17 55|
68 45|31 43|25 2|30 71|88 34|21 88|23 46|86 96|42 24|85 40|78 88|58 54|41 30|27 83|76 87|83 45|
55 68|57 31|98 25|29 30|66 88|12 21|54 23|4 86|76 42|60 85|12 78|46 58|70 41|17 27|13 76|55 83|
55 32|57 69|98 75|29 70|66 12|12 79|54 77|4 14|76 58|60 15|12 22|46 42|70 59|17 73|13 24|55 17|
32 45|69 43|75 2|70 71|12 34|79 88|77 46|14 96|58 24|15 40|22 88|42 54|59 30|73 83|24 87|17 45|
45 68|43 31|2 25|71 30|34 88|88 21|46 23|96 86|24 42|40 85|88 78|54 58|30 41|83 27|87 76|45 83|
