28 47|42 41|50 35|99 4|68 78|56 74|33 93|78 13|74 85|30 28|52 34|53 74|26 15|0 61|29 23|52 22|
2 16|43 46|27 49|40 44|65 12|18 80|73 30|64 17|24 73|54 72|40 56|97 8|71 95|6 17|11 18|62 29|
8 34|77 42|79 52|77 41|27 44|26 70|98 44|67 17|72 12|38 63|73 33|17 38|73 0|0 86|71 34|78 37|
74 39|28 64|32 28|88 14|29 76|20 4|89 54|75 45|10 58|5 60|32 73|37 30|76 26|6 60|7 99|25 67|
93 5|87 36|90 54|76 54|84 37|62 44|91 8|34 55|13 6|74 59|61 40|20 80|7 95|14 87|62 41|90 10|
3 98|81 89|82 79|25 90|35 73|81 96|66 4|66 1|53 47|45 44|67 10|90 36|42 53|2 99|50 57|82 98|
86 27|92 28|35 62|84 82|60 75|67 76|91 16|60 48|30 89|14 65|21 97|72 42|21 62|1 70|85 30|86 30|
24 99|37 34|85 95|71 74|47 64|29 86|5 30|28 91|88 22|49 52|46 31|95 12|72 68|0 26|45 20|50 50|
19 41|45 10|98 51|30 42|81 75|3 28|98 89|73 60|68 45|16 72|42 60|60 42|95 52|0 80|17 70|38 65|
16 44|91 47|1 43|69 43|10 12|30 27|82 86|24 49|65 91|33 35|4 1|70 76|66 84|8 8|55 45|67 78|
74 14|65 26|34 8|57 24|85 5|55 29|97 57|76 66|18 32|38 18|80 59|77 85|42 41|27 0|47 43|74 70|
90 14|87 19|49 78|94 93|52 88|43 30|37 67|28 11|41 55|75 44|2 68|37 24|64 67|27 66|40 53|49 73|
83 57|21 59|40 62|34 94|18 31|65 38|75 55|92 16|30 59|19 60|50 39|0 21|32 40|49 42|62 56|66 33|
93 66|80 30|61 16|3 41|97 17|87 23|41 47|63 8|83 42|85 23|49 50|61 1|49 85|0 41|74 42|79 30|
67 58|0 95|55 38|79 70|4 34|95 84|38 21|94 10|68 33|51 58|6 86|32 33|13 72|0 34|34 31|51 57|
35 12|0 85|14 70|70 69|34 39|59 46|0 27|16 46|90 94|34 22|25 67|72 43|33 40|6 34|27 32|62 57|
80 17|14 28|3 62|1 15|11 39|96 27|89 58|95 88|7 51|63 41|74 30|89 83|98 92|57 36|73 28|90 49|
53 48|71 81|3 50|13 52|9 96|20 86|85 11|52 71|18 70|79 28|98 93|60 53|85 65|53 46|67 72|79 22|
20 28|43 81|26 71|49 0|95 98|11 19|34 32|45 93|53 69|11 70|38 75|48 8|49 22|18 23|33 26|54 69|
54 74|5 92|32 38|72 5|56 24|56 70|16 46|88 52|54 89|66 57|1 49|48 70|25 81|20 84|43 74|67 57|
99 65|75 55|26 40|44 64|21 66|5 10|31 62|36 46|15 21|78 14|59 35|64 45|23 95|13 20|23 84|32 62|
26 9|30 89|46 56|0 6|45 60|65 6|65 38|98 98|51 39|32 76|72 69|20 26|32 75|19 26|21 24|66 61|
55 37|6 49|35 60|17 54|77 43|31 87|63 83|55 82|60 39|5 9|38 62|11 93|99 38|0 97|11 51|28 55|
48 75|0 99|67 16|26 74|50 98|91 18|37 9|98 17|23 46|7 22|47 79|15 33|37 0|6 91|14 32|17 40|
23 21|99 6|0 46|10 8|79 93|75 25|23 89|37 31|24 82|12 61|88 98|5 52|75 17|20 32|37 30|89 99|
